Team,League,Year,Games,W,RS,RA,OBP,SLG,BA,OPS,OOBP,OSLG,OOPS,Playoffs,RankSeason,RankPlayoffs
ARI,NL,2012,162,81,734,688,0.328,0.418,0.259,0.746,0.317,0.415,0.732,0,,
ATL,NL,2012,162,94,700,600,0.32,0.389,0.247,0.709,0.306,0.378,0.684,1,4,5
BAL,AL,2012,162,93,712,705,0.311,0.417,0.247,0.728,0.315,0.403,0.718,1,5,4
BOS,AL,2012,162,69,734,806,0.315,0.415,0.26,0.73,0.331,0.428,0.759,0,,
CHC,NL,2012,162,61,613,759,0.302,0.378,0.24,0.68,0.335,0.424,0.759,0,,
CHW,AL,2012,162,85,748,676,0.318,0.422,0.255,0.74,0.319,0.405,0.724,0,,
CIN,NL,2012,162,97,669,588,0.315,0.411,0.251,0.726,0.305,0.39,0.695,1,2,4
CLE,AL,2012,162,68,667,845,0.324,0.381,0.251,0.705,0.336,0.43,0.766,0,,
COL,NL,2012,162,64,758,890,0.33,0.436,0.274,0.766,0.357,0.47,0.827,0,,
DET,AL,2012,162,88,726,670,0.335,0.422,0.268,0.757,0.314,0.402,0.716,1,6,2
HOU,NL,2012,162,55,583,794,0.302,0.371,0.236,0.673,0.337,0.427,0.764,0,,
KCR,AL,2012,162,72,676,746,0.317,0.4,0.265,0.717,0.339,0.423,0.762,0,,
LAA,AL,2012,162,89,767,699,0.332,0.433,0.274,0.765,0.31,0.403,0.713,0,,
LAD,NL,2012,162,86,637,597,0.317,0.374,0.252,0.691,0.31,0.364,0.674,0,,
MIA,NL,2012,162,69,609,724,0.308,0.382,0.244,0.69,0.327,0.399,0.726,0,,
MIL,NL,2012,162,83,776,733,0.325,0.437,0.259,0.762,0.326,0.414,0.74,0,,
MIN,AL,2012,162,66,701,832,0.325,0.39,0.26,0.715,0.333,0.442,0.775,0,,
NYM,NL,2012,162,74,650,709,0.316,0.386,0.249,0.702,0.315,0.401,0.716,0,,
NYY,AL,2012,162,95,804,668,0.337,0.453,0.265,0.79,0.311,0.419,0.73,1,3,3
OAK,AL,2012,162,94,713,614,0.31,0.404,0.238,0.714,0.306,0.378,0.684,1,4,4
PHI,NL,2012,162,81,684,680,0.317,0.4,0.255,0.717,0.306,0.407,0.713,0,,
PIT,NL,2012,162,79,651,674,0.304,0.395,0.243,0.699,0.314,0.39,0.704,0,,
SDP,NL,2012,162,76,651,710,0.319,0.38,0.247,0.699,0.319,0.398,0.717,0,,
SEA,AL,2012,162,75,619,651,0.296,0.369,0.234,0.665,0.308,0.394,0.702,0,,
SFG,NL,2012,162,94,718,649,0.327,0.397,0.269,0.724,0.313,0.393,0.706,1,4,1
STL,NL,2012,162,88,765,648,0.338,0.421,0.271,0.759,0.313,0.387,0.7,1,6,3
TBR,AL,2012,162,90,697,577,0.317,0.394,0.24,0.711,0.294,0.352,0.646,0,,
TEX,AL,2012,162,93,808,707,0.334,0.446,0.273,0.78,0.309,0.408,0.717,1,5,5
TOR,AL,2012,162,73,716,784,0.309,0.407,0.245,0.716,0.335,0.438,0.773,0,,
WSN,NL,2012,162,98,731,594,0.322,0.428,0.261,0.75,0.303,0.373,0.676,1,1,4
ARI,NL,2011,162,94,731,662,0.322,0.413,0.25,0.735,0.316,0.409,0.725,1,5,4
ATL,NL,2011,162,89,641,605,0.308,0.387,0.243,0.695,0.31,0.361,0.671,0,,
BAL,AL,2011,162,69,708,860,0.316,0.413,0.257,0.729,0.341,0.46,0.801,0,,
BOS,AL,2011,162,90,875,737,0.349,0.461,0.28,0.81,0.322,0.392,0.714,0,,
CHC,NL,2011,162,71,654,756,0.314,0.401,0.256,0.715,0.335,0.413,0.748,0,,
CHW,AL,2011,162,79,654,706,0.319,0.388,0.252,0.707,0.317,0.397,0.714,0,,
CIN,NL,2011,162,79,735,720,0.326,0.408,0.256,0.734,0.325,0.415,0.74,0,,
