Flight,Date,Field,Temp,Pres
1,4/12/1981,0,66,50
1,4/12/1981,0,66,50
1,4/12/1981,0,66,50
1,4/12/1981,0,66,50
1,4/12/1981,0,66,50
1,4/12/1981,0,66,50
2,11/12/1981,1,70,50
2,11/12/1981,0,70,50
2,11/12/1981,0,70,50
2,11/12/1981,0,70,50
2,11/12/1981,0,70,50
2,11/12/1981,0,70,50
3,3/22/1982,0,69,50
3,3/22/1982,0,69,50
3,3/22/1982,0,69,50
3,3/22/1982,0,69,50
3,3/22/1982,0,69,50
3,3/22/1982,0,69,50
5,11/11/1982,0,68,50
5,11/11/1982,0,68,50
5,11/11/1982,0,68,50
5,11/11/1982,0,68,50
5,11/11/1982,0,68,50
5,11/11/1982,0,68,50
6,4/4/1983,0,67,50
6,4/4/1983,0,67,50
6,4/4/1983,0,67,50
6,4/4/1983,0,67,50
6,4/4/1983,0,67,50
6,4/4/1983,0,67,50
7,6/16/1983,0,72,50
7,6/16/1983,0,72,50
7,6/16/1983,0,72,50
7,6/16/1983,0,72,50
7,6/16/1983,0,72,50
7,6/16/1983,0,72,50
8,8/30/1983,0,73,100
8,8/30/1983,0,73,100
8,8/30/1983,0,73,100
8,8/30/1983,0,73,100
8,8/30/1983,0,73,100
8,8/30/1983,0,73,100
9,11/28/1983,0,70,100
9,11/28/1983,0,70,100
9,11/28/1983,0,70,100
9,11/28/1983,0,70,100
9,11/28/1983,0,70,100
9,11/28/1983,0,70,100
41-B,2/3/1984,1,57,200
41-B,2/3/1984,0,57,200
41-B,2/3/1984,0,57,200
41-B,2/3/1984,0,57,200
41-B,2/3/1984,0,57,200
41-B,2/3/1984,0,57,200
41-C,4/6/1984,1,63,200
41-C,4/6/1984,0,63,200
41-C,4/6/1984,0,63,200
41-C,4/6/1984,0,63,200
41-C,4/6/1984,0,63,200
41-C,4/6/1984,0,63,200
41-D,8/30/1984,1,70,200
41-D,8/30/1984,0,70,200
41-D,8/30/1984,0,70,200
41-D,8/30/1984,0,70,200
41-D,8/30/1984,0,70,200
41-D,8/30/1984,0,70,200
41-G,10/5/1984,0,78,200
41-G,10/5/1984,0,78,200
41-G,10/5/1984,0,78,200
41-G,10/5/1984,0,78,200
41-G,10/5/1984,0,78,200
41-G,10/5/1984,0,78,200
51-A,11/8/1984,0,67,200
51-A,11/8/1984,0,67,200
51-A,11/8/1984,0,67,200
51-A,11/8/1984,0,67,200
51-A,11/8/1984,0,67,200
51-A,11/8/1984,0,67,200
51-C,1/24/1985,1,53,200
51-C,1/24/1985,1,53,200
51-C,1/24/1985,1,53,200
51-C,1/24/1985,0,53,200
51-C,1/24/1985,0,53,200
51-C,1/24/1985,0,53,200
51-D,4/12/1985,0,67,200
51-D,4/12/1985,0,67,200
51-D,4/12/1985,0,67,200
51-D,4/12/1985,0,67,200
51-D,4/12/1985,0,67,200
51-D,4/12/1985,0,67,200
51-B,4/29/1985,0,75,200
51-B,4/29/1985,0,75,200
51-B,4/29/1985,0,75,200
51-B,4/29/1985,0,75,200
51-B,4/29/1985,0,75,200
51-B,4/29/1985,0,75,200
51-G,6/17/1985,0,70,200
51-G,6/17/1985,0,70,200
51-G,6/17/1985,0,70,200
51-G,6/17/1985,0,70,200
51-G,6/17/1985,0,70,200
51-G,6/17/1985,0,70,200
51-F,7/29/1985,0,81,200
51-F,7/29/1985,0,81,200
51-F,7/29/1985,0,81,200
51-F,7/29/1985,0,81,200
51-F,7/29/1985,0,81,200
51-F,7/29/1985,0,81,200
51-I,8/27/1985,0,76,200
51-I,8/27/1985,0,76,200
51-I,8/27/1985,0,76,200
51-I,8/27/1985,0,76,200
51-I,8/27/1985,0,76,200
51-I,8/27/1985,0,76,200
51-J,10/3/1985,0,79,200
51-J,10/3/1985,0,79,200
51-J,10/3/1985,0,79,200
51-J,10/3/1985,0,79,200
51-J,10/3/1985,0,79,200
51-J,10/3/1985,0,79,200
61-A,10/30/1985,1,75,200
61-A,10/30/1985,1,75,200
61-A,10/30/1985,0,75,200
61-A,10/30/1985,0,75,200
61-A,10/30/1985,0,75,200
61-A,10/30/1985,0,75,200
61-B,11/26/1985,0,76,200
61-B,11/26/1985,0,76,200
61-B,11/26/1985,0,76,200
61-B,11/26/1985,0,76,200
61-B,11/26/1985,0,76,200
61-B,11/26/1985,0,76,200
61-C,1/12/1986,1,58,200
61-C,1/12/1986,0,58,200
61-C,1/12/1986,0,58,200
61-C,1/12/1986,0,58,200
61-C,1/12/1986,0,58,200
61-C,1/12/1986,0,58,200
61-I,1/28/1986,,31,200
61-I,1/28/1986,,31,200
61-I,1/28/1986,,31,200
61-I,1/28/1986,,31,200
61-I,1/28/1986,,31,200
61-I,1/28/1986,,31,200
