movieId,title
1,Toy Story (1995)
2,Jumanji (1995)
3,Grumpier Old Men (1995)
4,Waiting to Exhale (1995)
5,Father of the Bride Part II (1995)
6,Heat (1995)
7,Sabrina (1995)
8,Tom and Huck (1995)
9,Sudden Death (1995)
10,GoldenEye (1995)
11,"American President, The (1995)"
12,Dracula: Dead and Loving It (1995)
13,Balto (1995)
14,Nixon (1995)
15,Cutthroat Island (1995)
16,Casino (1995)
17,Sense and Sensibility (1995)
18,Four Rooms (1995)
19,Ace Ventura: When Nature Calls (1995)
20,Money Train (1995)
21,Get Shorty (1995)
22,Copycat (1995)
23,Assassins (1995)
24,Powder (1995)
25,Leaving Las Vegas (1995)
26,Othello (1995)
27,Now and Then (1995)
28,Persuasion (1995)
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
31,Dangerous Minds (1995)
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
33,Wings of Courage (1995)
34,Babe (1995)
35,Carrington (1995)
36,Dead Man Walking (1995)
37,Across the Sea of Time (1995)
38,It Takes Two (1995)
39,Clueless (1995)
40,"Cry, the Beloved Country (1995)"
41,Richard III (1995)
42,Dead Presidents (1995)
43,Restoration (1995)
44,Mortal Kombat (1995)
45,To Die For (1995)
46,How to Make an American Quilt (1995)
47,Seven (a.k.a. Se7en) (1995)
48,Pocahontas (1995)
50,"Usual Suspects, The (1995)"
52,Mighty Aphrodite (1995)
53,Lamerica (1994)
54,"Big Green, The (1995)"
55,Georgia (1995)
57,Home for the Holidays (1995)
58,"Postman, The (Postino, Il) (1994)"
59,"Confessional, The (Confessionnal, Le) (1995)"
60,"Indian in the Cupboard, The (1995)"
61,Eye for an Eye (1996)
62,Mr. Holland's Opus (1995)
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
64,Two if by Sea (1996)
65,Bio-Dome (1996)
66,Lawnmower Man 2: Beyond Cyberspace (1996)
67,Two Bits (1995)
68,French Twist (Gazon maudit) (1995)
69,Friday (1995)
70,From Dusk Till Dawn (1996)
71,Fair Game (1995)
72,Kicking and Screaming (1995)
73,"Misérables, Les (1995)"
74,Bed of Roses (1996)
76,Screamers (1995)
77,Nico Icon (1995)
78,"Crossing Guard, The (1995)"
79,"Juror, The (1996)"
80,"White Balloon, The (Badkonake sefid) (1995)"
81,Things to Do in Denver When You're Dead (1995)
82,Antonia's Line (Antonia) (1995)
83,Once Upon a Time... When We Were Colored (1995)
84,Last Summer in the Hamptons (1995)
85,Angels and Insects (1995)
86,White Squall (1996)
87,Dunston Checks In (1996)
88,Black Sheep (1996)
89,Nick of Time (1995)
92,Mary Reilly (1996)
93,Vampire in Brooklyn (1995)
94,Beautiful Girls (1996)
95,Broken Arrow (1996)
96,In the Bleak Midwinter (1995)
97,"Hate (Haine, La) (1995)"
98,Shopping (1994)
99,Heidi Fleiss: Hollywood Madam (1995)
100,City Hall (1996)
101,Bottle Rocket (1996)
102,Mr. Wrong (1996)
103,Unforgettable (1996)
104,Happy Gilmore (1996)
105,"Bridges of Madison County, The (1995)"
106,Nobody Loves Me (Keiner liebt mich) (1994)
107,Muppet Treasure Island (1996)
110,Braveheart (1995)
111,Taxi Driver (1976)
112,Rumble in the Bronx (Hont faan kui) (1995)
113,Before and After (1996)
114,Margaret's Museum (1995)
116,Anne Frank Remembered (1995)
117,"Young Poisoner's Handbook, The (1995)"
118,If Lucy Fell (1996)
119,"Steal Big, Steal Little (1995)"
120,Race the Sun (1996)
121,"Boys of St. Vincent, The (1992)"
122,Boomerang (1992)
123,Chungking Express (Chung Hing sam lam) (1994)
124,"Star Maker, The (Uomo delle stelle, L') (1995)"
125,Flirting With Disaster (1996)
126,"NeverEnding Story III, The (1994)"
128,Jupiter's Wife (1994)
131,Frankie Starlight (1995)
132,Jade (1995)
133,Nueba Yol (1995)
134,Sonic Outlaws (1995)
135,Down Periscope (1996)
136,From the Journals of Jean Seberg (1995)
137,Man of the Year (1995)
138,"Neon Bible, The (1995)"
140,Up Close and Personal (1996)
141,"Birdcage, The (1996)"
144,"Brothers McMullen, The (1995)"
145,Bad Boys (1995)
146,"Amazing Panda Adventure, The (1995)"
147,"Basketball Diaries, The (1995)"
148,"Awfully Big Adventure, An (1995)"
149,Amateur (1994)
150,Apollo 13 (1995)
151,Rob Roy (1995)
152,"Addiction, The (1995)"
153,Batman Forever (1995)
154,Beauty of the Day (Belle de jour) (1967)
155,Beyond Rangoon (1995)
156,Blue in the Face (1995)
157,Canadian Bacon (1995)
158,Casper (1995)
159,Clockers (1995)
160,Congo (1995)
161,Crimson Tide (1995)
162,Crumb (1994)
163,Desperado (1995)
164,Devil in a Blue Dress (1995)
165,Die Hard: With a Vengeance (1995)
166,"Doom Generation, The (1995)"
168,First Knight (1995)
169,Free Willy 2: The Adventure Home (1995)
