Year,Name,PP,DD,MM,FF,Mode,Ch,Movie,Nom,Pic,Dir,Aml,Afl,PrN,PrW,PrNl,PrWl,Gdr,Gmc,Gd,Gm1,Gm2,Gf1,Gf2,PGA,DGA,SAM,SAF,Age,Length,Days
2007,Atonement,1,0,0,0,1,2,Atonement,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,130,51
2007,Juno,1,0,0,0,2,2,Juno,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,61
2007,Clayton,1,0,0,0,3,2,Clayton,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,135
2007,Country,1,0,0,0,4,1,Country,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,122,95
2007,Blood,1,0,0,0,5,2,Blood,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,44
2007,Schnabel,0,1,0,0,1,2,Diving,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,Reitman,0,1,0,0,2,2,Juno,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Gilroy,0,1,0,0,3,2,Clayton,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Coens,0,1,0,0,4,1,Country,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Anderson,0,1,0,0,5,2,Blood,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Clooney,0,0,1,0,1,2,Clayton,7,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
2007,DayLewis,0,0,1,0,2,1,Blood,8,1,1,1,0,3,1,3,1,0,0,0,1,0,0,0,0,0,1,0,50,0,0
2007,Depp,0,0,1,0,3,2,Sweeney,3,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,44,0,0
2007,Jones,0,0,1,0,4,2,Valley,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
2007,Mortensen,0,0,1,0,5,2,Eastern,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
2007,Blanchett,0,0,0,1,1,2,Elizabeth,2,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
2007,Christie,0,0,0,1,2,2,Away,2,0,0,0,1,3,1,3,1,0,0,0,0,0,1,0,0,0,0,1,66,0,0
2007,Cotillard,0,0,0,1,3,1,Vie,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,0
2007,Linney,0,0,0,1,4,2,Savages,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
2007,Page,0,0,0,1,5,2,Juno,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
2006,Babel,1,0,0,0,1,2,Babel,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142,121
2006,Departed,1,0,0,0,2,1,Departed,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,142
2006,Letters,1,0,0,0,3,2,Letters,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,67
2006,Sunshine,1,0,0,0,4,2,Sunshine,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101,214
2006,Queen,1,0,0,0,5,2,Queen,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,148
2006,Eastwood,0,1,0,0,1,2,Letters,4,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Frears,0,1,0,0,2,2,Queen,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Greengrass,0,1,0,0,3,2,United93,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Inarritu,0,1,0,0,4,2,Babel,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Scorsese,0,1,0,0,5,1,Departed,5,1,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2006,DiCaprio,0,0,1,0,1,2,Diamond,5,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
2006,Gosling,0,0,1,0,2,2,Nelson,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
2006,OToole,0,0,1,0,3,2,Venus,1,0,0,1,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0
2006,SmithW,0,0,1,0,4,2,Happyness,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
2006,Whitaker,0,0,1,0,5,1,Scotland,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,45,0,0
2006,Cruz,0,0,0,1,1,2,Volver,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
2006,Dench,0,0,0,1,2,2,Scandal,4,0,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0
2006,Mirren,0,0,0,1,3,1,Queen,6,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,61,0,0
2006,Streep,0,0,0,1,4,2,Prada,2,0,0,0,1,13,2,10,1,0,0,0,0,0,0,1,0,0,0,0,57,0,0
2006,Winslet,0,0,0,1,5,2,Children,3,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
2005,Brokeback,1,0,0,0,1,2,Brokeback,8,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,134,95
2005,Capote,1,0,0,0,2,2,Capote,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,156
2005,Crash,1,0,0,0,3,1,Crash,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,303
2005,Goodnight,1,0,0,0,4,2,Goodnight,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,149
2005,Munich,1,0,0,0,5,2,Munich,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,72
2005,Clooney,0,1,0,0,1,2,Goodnight,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
