Case,No,Task,CC1,GN1,NS1,BU1,FA1,LD1,BZ1,FC1,FP1,RP1,PP1,KA1,SC1,TS1,NV1,MA1,LB1,AF1,HU1,Price1,CC2,GN2,NS2,BU2,FA2,LD2,BZ2,FC2,FP2,RP2,PP2,KA2,SC2,TS2,NV2,MA2,LB2,AF2,HU2,Price2,CC3,GN3,NS3,BU3,FA3,LD3,BZ3,FC3,FP3,RP3,PP3,KA3,SC3,TS3,NV3,MA3,LB3,AF3,HU3,Price3,CC4,GN4,NS4,BU4,FA4,LD4,BZ4,FC4,FP4,RP4,PP4,KA4,SC4,TS4,NV4,MA4,LB4,AF4,HU4,Price4,Ch1,Ch2,Ch3,Ch4,segment,segmentind,year,yearind,miles,milesind,milesa,night,nightind,nighta,gender,genderind,age,ageind,agea,educ,educind,region,regionind,Urb,Urbind,income,incomeind,incomea,Choice
1,1,1,0,1,4,6,0,0,0,0,3,1,1,0,0,1,1,4,0,0,0,2,0,2,1,2,0,0,0,0,2,1,1,0,0,1,1,1,0,0,0,2,0,2,4,5,0,0,0,0,3,2,3,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,2,2,3,0,0,0,2,2,2,1,0,0,0,1,3,0,0,0,4,2,0,8,1,0,0,0,1,3,1,2,0,0,0,2,2,0,0,0,1,3,0,7,2,0,0,0,2,1,3,2,0,0,0,2,2,0,0,0,4,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch1
1,3,3,1,1,5,0,2,0,3,0,1,0,0,0,1,2,0,0,0,0,2,4,2,2,5,0,1,0,1,0,4,0,0,0,4,3,0,0,0,0,2,6,3,2,5,0,2,0,2,0,1,0,0,0,3,2,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,4,4,0,0,0,2,0,3,0,2,0,1,0,0,0,0,3,4,4,2,1,3,0,0,0,4,0,2,0,2,0,2,0,0,0,0,3,4,2,2,1,7,0,0,0,5,0,2,0,2,0,1,0,0,0,0,1,4,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,5,5,0,2,2,0,1,2,0,2,0,0,2,1,0,0,3,0,3,0,0,1,0,1,1,0,1,3,0,1,0,0,2,1,0,0,1,0,2,0,0,4,0,1,4,0,2,2,0,2,0,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,6,6,3,0,0,5,0,0,1,0,4,0,2,2,4,1,0,0,0,1,0,1,1,0,0,1,0,0,2,0,1,0,1,2,4,2,0,0,0,3,0,7,2,0,0,5,0,0,3,0,2,0,3,2,1,1,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,7,7,0,2,0,0,1,0,2,0,0,1,1,0,4,0,0,1,0,3,2,3,0,2,0,0,1,0,2,0,0,1,1,0,3,0,0,4,0,1,1,2,0,2,0,0,2,0,1,0,0,2,3,0,1,0,0,2,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,8,8,3,0,1,0,0,2,0,0,2,1,0,1,0,0,0,1,2,0,2,4,2,0,3,0,0,2,0,0,4,1,0,2,0,0,0,4,4,0,1,11,2,0,4,0,0,3,0,0,2,1,0,2,0,0,0,1,3,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,9,9,3,0,0,3,0,0,2,2,0,0,2,2,0,1,3,2,0,0,0,11,2,0,0,6,0,0,3,2,0,0,2,1,0,2,1,2,0,0,0,4,2,0,0,4,0,0,2,2,0,0,1,2,0,2,2,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,10,10,0,0,0,0,0,0,0,2,1,2,0,0,1,1,3,0,4,2,1,6,0,0,0,0,0,0,0,1,2,2,0,0,3,2,3,0,1,2,1,5,0,0,0,0,0,0,0,2,4,1,0,0,4,3,3,0,2,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,11,11,0,2,3,2,1,3,1,0,0,0,0,1,0,1,0,0,0,0,1,7,0,2,1,1,1,2,2,0,0,0,0,1,0,2,0,0,0,0,2,6,0,1,1,2,2,3,3,0,0,0,0,2,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,12,12,0,2,2,4,0,3,0,0,4,0,2,0,2,0,0,3,3,0,0,8,0,1,4,2,0,1,0,0,2,0,1,0,1,0,0,3,4,0,0,8,0,2,4,6,0,1,0,0,1,0,2,0,1,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,13,13,3,1,1,0,2,3,0,1,0,2,0,0,0,0,2,0,0,3,0,10,2,2,3,0,1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,9,2,1,3,0,2,1,0,2,0,2,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
1,14,14,0,0,0,1,1,0,0,2,0,1,0,0,3,2,0,2,1,0,1,9,0,0,0,5,1,0,0,1,0,2,0,0,4,1,0,4,3,0,2,6,0,0,0,6,1,0,0,2,0,1,0,0,3,1,0,4,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Midsize Car,2,2000,1,51 To 100 Miles,2,80,21% To 30%,3,30,Female,1,50 To 59,4,53,Some College (1-3 Years),5,NE,2,Suburban,2,"$40,000 to $49,999",3,44500,Ch2
