sentiment,tweet
5,Two places I'd invest all my money if I could: 3D printing and Self-driving cars!!!
5,Awesome! Google driverless cars will help the blind travel more often; https://t.co/QWuXR0FrBpv
5,Autonomous vehicles could reduce traffic fatalities by 90%...I'm in!
5,Really good presentation from Jan Becker on Bosch's automated vehicle research. #AutoAuto check it out
5,Ford just revealed it's Automated Ford Fusion Hybrid Vehicle. Pretty amazing. #fordtrends @ Ford Test http://t.co/7axya8ogIW
5,"So yeah, just throwing this out there again. Would totally be down to beta test an autonomous car."
5,"@TeslaMotors Musk reluctant to partner with Apple, Google, but an Android controlled, autonomous smart-car would be awesome!!"
5,Finished SF&gt;LA drive. Now in rush hour for a meeting. I cant wait for an autonomous google car.
5,The #Google autonomous car paid a visit to Nvidia HQ. Pretty cool technology
5,"Finally, a very realistic timeline for full autonomous car capability. Hats off, @MorganStanley #AutoForum http://t.co/ZwemgV5JF8"
5,"It'll be cool when cars are fully autonomous, cause I'm totally gonna sleep while my car drives."
5,Autonomous car driving could free up the $200 billion that's wasted in car insurance.
5,Awesome! #Google builds the first purpose-built autonomous vehicle #SelfDrivenCar http://t.co/jfU7h4xevG
5,I'm glad I have a semi-autonomous vehicle. This heavy rain was worse than driving in a blizzard! #weatherwednesday http://t.co/JiBihB12Mx
5,Chris Urmson (@googleresearch @CarnegieMellon) really boosted my hope for autonomous vehicle viability in the near future #RoboBusiness
5,@sherod @erikbryn drive a partially autonomous vehicle (radar cruise control) and you will be a believer. The tech is a life saver.
5,"Jeff Owens, @DelphiAuto CTO: A fully autonomous vehicle is a moon shot for our industry. #MBS2014 http://t.co/BccKZiPnX8"
5,"Yes!!!!! MT ""@mims: Elon Musk says Tesla's fully-autonomous electric vehicle will be on the road in 5-6 years http://t.co/rAoQQP1fLV"""
5,Dear @GoogleVentures: please hurry with the driverless cars. 'Cuz the ones driven by humans are making me CRAZY!!!
5,I wish I had a driverless car right now @thetechblock #dd
5,@salimismail - driverless cars will save $6bn in time $2.5bn in accident costs. We will ask why we let humans drive. @GUimpact launch
5,http://t.co/lsyL4Qfccw  Half of Americans want to live in a smart city with driverless cars
5,I hope it's sooner! @prioritydata: A study suggests that nearly all cars are expected to be driverless by 2050. 
5," ""Fasten Your Seatbelts: Google's Driverless Car Is Worth Trillions""� I want it :)"
5,"my dad is OBSESSED with this google driverless car. ""THIS IS HAPPENING. ARTIFICIAL INTELLIGENCE"" ""WHEN YOU'RE AN ADULT, ITS GONNA HAPPEN"""
5,Innovation at its finest: Google's trillion $$ driverless car will b commercialized sooner than u think 
5,""" A driverless car invented by Google has completed over 300k miles and only had two accidents when humans in other cars hit it."""
5,I can't wait for this to be standard.  Fasten your seatbelts: Google's driverless car is worth trillions 
5,This is honestly the coolest thing ever...@Forbes: Fasten your seatbelts: Google's driverless car is worth trillions
5,saw the audi new driver less parking technology...it is really awesome
5,@fawnjohnson Car accidents are the primary killer of Americans. Driverless cars will end that. We should be doing all we can to get there.
5,"This is cool: Swivel seats, big screen, espresso. Inside the driverless car of the future http://t.co/dFkywEtTwW http://t.co/IrHrelyajM"
5,@AHBSradio @drvrls I would LOVE a driverless car!! #GreatIdea
5,"I'd love to see @google rethink the inside of cars now that they're #driverless, so much could change for the better! http://t.co/0dkPSjcwVa"
5," If driverless car exists, I'll be glad to have it lol. Can't come soon enough #30kperyear auto accident deaths"
5,"When fully implemented, driverless vehicles could reduce accidents by 90%, saving 35k+ lives in the US each year. #transportationtomorrow"
5,"Yes pls! Google says they hope to use driverless cars for shopping delivery in a ""few years"" "
5,Can we have driverless cars already.
5, It's time for the auto industry to create a new Model T yes a #driverless Model T
5,Good! Now to ensure politicians don't stand in the way! Google says its driverless cars are ready for city streets: 
5,"@NBCLA @joemmathews I can't wait for a driverless future, soooo cooooool!"
5,Great presentation at the @UAlberta this afternoon from Sebastian Thrun on driverless cars. Really fascinating stuff.
5,Driverless cars? Cool!
5,THANK ALLAH. Can't come fast enough.  The Economist | Schumpeter: The driverless road ahead http://t.co/SUrJJGpq via @theeconomist
5,I want to sit all day at CodeCon! Driverless cars and the Skype instant translator are uber cool!  #codecon
5,Google plans on having 100 driverless cars on the road by next year. DriverLESS. Cars. So cool
5,When can I get one? #signmeup #want #thefuture #socool @HuffingtonPost: Meet Google's newest driverless car
5,#Marylanddrivers RT @TonyFratto: Driverless cars can't come soon enough.
